"","cohort_term","Marital.Status","Adjusted.Gross.Income","Parent.Adjusted.Gross.Income","Father.s.Highest.Grade.Level","Mother.s.Highest.Grade.Level","Housing","Total_loan","Total_grant","Total_scholarship","Total_WorkStudy","Cohort","CohortTerm","RegistrationDate","Hispanic","Black","NativeHawaiian","White","HSDipYr","HSGPAUnwtd","EnrollmentStatus","NumColCredAttemptTransfer","NumColCredAcceptTransfer","CumLoanAtEntry","HighDeg","MathPlacement","EngPlacement","GatewayMathStatus","GatewayEnglishStatus","CompleteDevMath","CompleteDevEnglish","Major1","Complete1","CompleteCIP1","TermGPA","CumGPA","Dropout"
"1","1","Married",116846,0,"High School","College","Off Campus",35000,0,0,0,"2011-12","1",20110808,0,0,0,1,2016,1,"2",0,0,1,"0","0","0","0","0","-2","-2",51.2432333333333,2.66666666666667,15.7966333333333,3.48333333333333,3.48333333333333,"0"
"2","1","Single",1,1,"High School","High School","Off Campus",28896,0,0,0,"2011-12","1",20110804,0,0,0,1,2016,1,"2",96,45,1,"0","0","0","0","0","-2","-2",51.3801,1.33333333333333,6.89668333333333,3.535,3.535,"0"
"3","1","Single",1528,0,"College","High School","Off Campus",54057,0,0,0,"2011-12","1",20110809,0,0,0,1,2016,1,"2",0,0,1,"0","0","0","0","0","-2","-2",51.2432333333333,2.66666666666667,15.7966333333333,3.94333333333333,3.94333333333333,"0"
"4","1","Single",1,1,"High School","High School","Off Campus",0,0,0,0,"2011-12","1",20110823,0,0,0,1,2016,1,"2",54,87.5,1,"0","0","0","0","0","-2","-2",45.0601,1.75,9.765025,3.795,3.795,"0"
"5","1","Married",69036,0,"Middle School","High School","Off Campus",0,0,21642.8,0,"2011-12","1",20110420,0,0,0,1,2016,1,"2",70,66,1,"2","0","0","0","0","-2","-2",23.0101,0.875,1.1262625,4,4,"0"
"6","1","Single",0,0,"Unknown","College","With Parent",0,23978,0,0,"2011-12","1",20110628,0,1,0,0,2010,3.5,"1",-2,-2,-2,"0","0","1","1","0","-2","0.25",0,0,-2,3.13,3.13,"1"
"7","1","Single",0,0,"College","High School","On Campus Housing",22283,23100,0,0,"2011-12","1",20110810,0,0,0,0,2016,1,"2",62,66,1,"2","0","0","0","0","-2","-2",37.6934333333333,0,-2,3.35,3.35,"1"
"8","1","Single",2069,73993,"College","College","With Parent",26900,0,0,0,"2011-12","1",20110908,0,0,0,0,2016,1,"2",53,45,1,"0","0","0","0","0","-2","-2",29.1338375,0,-2,2.08,2.08,"1"
"9","1","Single",10033,19467,"Unknown","High School","With Parent",24203,9898,0,0,"2011-12","1",20110714,1,0,0,0,2016,1,"2",52,66,1,"0","0","0","0","0","-2","-2",45.1101,1.16666666666667,5.85168333333333,2.49333333333333,2.49333333333333,"0"
"10","1","Single",3602,65801,"High School","High School","On Campus Housing",11500,1000,0,745,"2011-12","1",20110607,0,1,0,0,2011,2.5,"1",-2,-2,-2,"0","1","0","0","0","0","-2",0,0,-2,2.56,2.56,"1"
"11","1","Single",0,0,"College","High School","With Parent",0,23075,0,0,"2011-12","1",20110503,1,0,0,0,2010,1,"1",-2,-2,-2,"0","1","1","0","0","0.0909090909090909","0.363636363636364",23.7000454545455,0.727272727272727,2.92182727272727,3.35818181818182,3.35818181818182,"0"
"12","1","Separated",6710,0,"Unknown","Unknown","Off Campus",0,346.5,0,0,"2011-12","1",20110803,0,1,0,0,2016,1,"2",72,54.5,1,"0","0","0","0","1","-2","-2",13.1001,0,-2,0,0,"1"
"13","1","Single",2575,31200,"College","College","With Parent",1750,11337.77,0,0,"2011-12","1",20110513,0,1,0,0,2010,2.34,"1",-2,-2,-2,"0","1","1","1","0","0","0.333333333333333",52.0201,0,-2,1.79666666666667,1.79666666666667,"1"
"14","1","Married",27607,0,"High School","High School","Off Campus",32500,0,1000,0,"2011-12","1",20110808,1,0,0,0,2016,1,"2",0,0,1,"0","0","0","0","0","-2","-2",51.2432333333333,2.66666666666667,15.7966333333333,3.64,3.64,"0"
"15","1","Married",50735,0,"Unknown","Unknown","Off Campus",28500,0,0,0,"2011-12","1",20110616,0,0,0,0,2016,1,"2",1,87,1,"0","0","0","0","0","-2","-2",23.0101,1,1.57287142857143,2.81714285714286,2.81714285714286,"0"
"16","1","Single",32729,0,"High School","College","Off Campus",52218,0,0,0,"2011-12","1",20110808,0,0,0,1,2016,1,"2",0,0,1,"0","0","0","0","0","-2","-2",51.2432333333333,2.66666666666667,15.7966333333333,3.47333333333333,3.47333333333333,"0"
"17","1","Single",0,12871,"High School","High School","With Parent",19500,43566,0,0,"2011-12","1",20110607,1,0,0,0,2016,2.6,"1",-2,-2,-2,"0","1","1","1","0","0","0.333333333333333",52.6901,0,-2,2.23444444444444,2.23444444444444,"1"
"18","1","Single",0,34313,"High School","College","With Parent",19250,41615,0,3900,"2011-12","1",20110505,0,0,0,0,2016,3.2,"1",-2,-2,-2,"0","1","1","0","0","0.1","0.1",29.40707,0.7,2.40101,3.34,3.34,"0"
"19","1","Single",6363,67267,"College","College","With Parent",13598,17382,0,0,"2011-12","1",20110523,1,0,0,0,2016,1,"2",70,66,1,"2","0","0","0","0","-2","-2",52.1201,1.33333333333333,7.02335,3.27166666666667,3.27166666666667,"0"
"20","1","Married",21539,0,"College","College","Off Campus",12750,15296,0,0,"2011-12","1",20110821,0,0,0,0,2016,1,"2",1,96,1,"0","0","0","0","0","-2","-2",11.0101,1,-0.3737375,2.76875,2.76875,"0"
