StudentID,cohort_term,Marital Status,Adjusted Gross Income,Parent Adjusted Gross Income,Father's Highest Grade Level,Mother's Highest Grade Level,Housing,2012 Loan,2012 Scholarship,2012 Work/Study,2012 Grant,2013 Loan,2013 Scholarship,2013 Work/Study,2013 Grant,2014 Loan,2014 Scholarship,2014 Work/Study,2014 Grant,2015 Loan,2015 Scholarship,2015 Work/Study,2015 Grant,2016 Loan,2016 Scholarship,2016 Work/Study,2016 Grant,2017 Loan,2017 Scholarship,2017 Work/Study,2017 Grant
297957,1,Single,0,0,College,High School,On Campus Housing,3500,,,10714,5500,,,11095,,,,,,,,,,,,,,,,
302040,1,Single,18096,0,High School,High School,Off Campus,12500,,,3500,6250,,,,,,,,,,,,,,,,,,,
234532,1,Single,12383,0,High School,High School,Off Campus,,,,7432,5500,,,,,,,,,,,,,,,,,,,
303486,1,Married,59303,0,High School,Middle School,Off Campus,4750,,,850,2750,,,1650,10500,,,3146,5206,,,4580,,,,691,8385,,,2233
304316,1,Single,25133,0,Unknown,High School,,,,,,,,,,,,,,,,,,,,,,,,,
302808,1,Single,15971,0,Middle School,High School,Off Campus,6500,,,5550,8000,,,2888,,,,,,,,,,,,,,,,
304266,1,Single,0,10551,High School,High School,On Campus Housing,12500,,,,10500,,,4857,10500,,,5645,,,,,,,,,,,,
292741,1,Single,0,87131,High School,High School,With Parent,10500,,,,12500,,,,,,,,,,,,,,,,,,,
296902,1,Single,19709,0,Unknown,High School,Off Campus,2500,8271,,5550,,7871.8,,5550,,,,,,,,,,,,,,,,
302171,1,Single,42557,0,High School,High School,Off Campus,3750,,,,,,,,,,,,,,,,,,,,,,,
303077,1,Single,0,984,College,College,Off Campus,,,,2775,,,,,,,,,,,,,,,,,,,,
273529,1,Single,0,18859,High School,High School,With Parent,2750,,,11588,850,,,11790,4000,,,8985,11500,,,3909,,,,,,,,
288584,1,Separated,0,0,Middle School,Middle School,Off Campus,3000,,1000,3670,9500,,,8670,8500,,,12001,8148,,,8858,,,,,,,,
301468,1,Single,23666,0,High School,Middle School,Off Campus,10500,,,7798,12500,,,11043,5250,,,6467,,,,,,,,,,,,
301767,1,Single,10551,13000,High School,High School,With Parent,4500,,,4712,5500,,,5000,7500,,,2096,,,,,,,,,,,,
300422,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304663,1,Single,0,71856,High School,High School,With Parent,5500,,,6418,4500,,,5892,5250,,,,,,,,,,,,,,,
260813,1,Single,11000,21005,High School,High School,Off Campus,5500,,,5950,4700,,,4500,,,,,,,,,,,,,,,,
304849,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278532,1,Single,0,26767,Unknown,Unknown,Off Campus,,,,11588,,,,11040,4970,,,5738,3750,,,2040,,,,,,,,
283573,1,Single,0,0,Unknown,College,On Campus Housing,,,2223,12738,,,,13540,,,,13151,,,,13866,2750,,2000,13405,,,,
299299,1,Single,2065,32942,Middle School,Middle School,With Parent,3500,,,7862,,,,,,,,,,,,,,,,,,,,
302704,1,Single,0,18650,Unknown,Unknown,With Parent,,,,2025,,,,,,,,,,,,,,,,,,,,
302077,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303071,1,Single,0,10488,Unknown,College,On Campus Housing,,,,11588,,,,,,,,,,,,,,,,,,,,
298214,1,Single,0,22451,Unknown,High School,With Parent,,,,2082,,,,,,,,,,,,,,,,,,,,
302900,1,Single,2497,17304,High School,High School,With Parent,3500,,,11588,,,,,4500,,,4721,,,,,,,,,,,,
298985,1,Single,0,50034,Middle School,Middle School,With Parent,5500,,,4906,4500,,,7020,3250,,,2364,7500,,,1380,7500,,,,,,,
300865,1,Single,5405,106261,High School,High School,With Parent,8228,,,,,,,,,,,,,,,,,,,,,,,
289804,1,Single,0,63123,Middle School,High School,Off Campus,5500,,,5032,,,,,2326,,,,,,,,,,,,,,,
300030,1,Single,0,39609,High School,College,Off Campus,5500,,,5387,,,,,,,,,,,,,,,,,,,,
300664,1,Single,0,53249,High School,College,With Parent,8500,,,9374,9500,,,4700,8500,,,10333,11726,,,5280,5500,,,1142,12500,,,2245
298148,1,Single,1549,113682,High School,College,With Parent,10500,,,,13500,,,,7140,,,9531,11500,250,,,,,,,,,,
300597,1,Single,0,47721,High School,High School,With Parent,3500,,,4632,3500,,,3994,,,,,,,,,,,,,,,,
303060,1,Single,1885,37865,Unknown,Unknown,Off Campus,,,,3000,,,,5550,,,,5595,,,,9634,,,,8339,,,,
298316,1,Single,0,33933,High School,High School,With Parent,,,,11314,,,,10552,,,,10667.65,,,2800,12192,,,,,,,,
301271,1,Single,0,21354,High School,High School,Off Campus,,,,9512.3,,,,,3500,,,4234,,,,,,,,,,,,
298406,1,Single,0,13737,High School,College,With Parent,,,3000,11588,,,1000,5145,,,,,,,,,,,,,,,,
283668,1,Single,0,40835,Unknown,College,With Parent,,10021,,2500,,10421.8,,2900,,,,,,,,,,,,,,,,
302547,1,Single,0,61246,High School,High School,With Parent,5500,,,1500,5500,1035,,,9500,,,,14300,,,,5500,,,,,,,
296689,1,Single,0,41176,High School,High School,With Parent,,,2000,6018,,,2060,,,,,,,,,,,,,,,,,
296698,1,Single,0,28164,High School,Middle School,On Campus Housing,,,,,,,,,,,,,,,,,,,,,,,,
