id,group,sex,friend_count
SE,F,female,73
PH,G,male,53
PD,G,female,363
LN,G,female,64
MB,F,female,19
AP,C,female,99
SM,C,male,432
CB,W,female,22
TB2,W,male,153
RBW,W,male,63
NW,W,female,298
AL,F,female,834
DB,M,male,143
CWB,M,female,128
BS,M,male,143
AC,M,female,363
BW,M,female,373
DZM,M,male,79
KW,M,male,42
VST,W,female,83
TM,W,male,0
CR,F,male,604
AAE,F,male,508
HRS,F,female,307
LRS,F,female,67
SL,F,female,31
JJ,C,male,236
TBC,C,male,250
LE,C,female,191
BCL,F,female,405
SLL,F,female,271
TNB,G,male,80
MGE,G,female,176
JLG,G,female,97
DGT,G,male,62
DK,W,female,63
WT,W,male,110
DSW,W,male,122
ME,W,male,115
MWB,M,male,1316
BD,M,female,224
LL,M,female,461
BB,M,male,95
LSM,M,female,390
KM,M,female,283
SP,S,male,201
LCP,S,female,199
ADE,S,male,217
KH,S,male,271
ECS,S,female,304
KT,S,male,322
GB,H,female,502
RBH,H,female,65
JU,H,male,15
JZ,H,female,97
DSM,M,male,0
BL,F,male,123
CG,F,female,230
CSH,F,female,231
GGA,F,female,282
ADL,F,male,491
DL,F,male,141
LBF,F,female,278
GL,F,male,302
CS,F,female,78
DSF,F,female,100
ALL,F,male,575
CW1,B,female,196
DZB,B,male,51
PW,B,male,60
ARL,B,female,131
LZ,B,female,109
MBM,M,female,0
RW,W,male,199
ECW,W,female,0
JK,W,female,135
ASS,W,female,746
SS1,W,female,492
SMH,W,female,130
TB1,W,male,171
DM,W,male,303
LBW,W,female,107
MD,W,male,1188
TR,G,male,171
DSG,G,female,66
LRG,G,female,113
SS2,W,female,425
JLT,M,female,700
LSF,F,male,553
TSL,F,female,209
LBC,C,female,150
LLB,C,female,175
DW,H,female,134
