index,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,I am asking the chairs of the House and Senate committees to investigate top secret intelligence shared with NBC prior to me seeing it.,FALSE,12424,NA,1/6/2017 16:51,FALSE,NA,8.17413E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,4003,FALSE,FALSE,NA,NA
2,"Anna Wintour came to my office at Trump Tower to ask me to meet with the editors of Conde Nast &amp; Steven Newhouse, a friend. Will go this AM.",FALSE,15873,NA,1/6/2017 14:18,FALSE,NA,8.17375E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,3439,FALSE,FALSE,NA,NA
3,"being a movie star-and that was season 1 compared to season 14. Now compare him to my season 1. But who cares, he supported Kasich &amp; Hillary",FALSE,22599,NA,1/6/2017 12:42,FALSE,NA,8.17351E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,5521,FALSE,FALSE,NA,NA
4,"Wow, the ratings are in and Arnold Schwarzenegger got ""swamped"" (or destroyed) by comparison to the ratings machine, DJT. So much for....",FALSE,21196,NA,1/6/2017 12:34,FALSE,NA,8.17349E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,5778,FALSE,FALSE,NA,NA
5,"Hopefully, all supporters, and those who want to MAKE AMERICA GREAT AGAIN, will go to D.C. on January 20th. It will be a GREAT SHOW!",FALSE,37136,NA,1/6/2017 12:05,FALSE,NA,8.17341E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,8645,FALSE,FALSE,NA,NA
6,and knew they were in big trouble - which is why they cancelled their big fireworks at the last minute.THEY SAW A MOVEMENT LIKE NEVER BEFORE,FALSE,25111,NA,1/6/2017 11:45,FALSE,NA,8.17336E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,5490,FALSE,FALSE,NA,NA
7,Hillary and the Dems were never going to beat the PASSION of my voters. They saw what was happening in the last two weeks before the......,FALSE,30258,NA,1/6/2017 11:39,FALSE,NA,8.17335E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,6918,FALSE,FALSE,NA,NA
8,"The dishonest media does not report that any money spent on building the Great Wall (for sake of speed), will be paid back by Mexico later!",FALSE,36394,NA,1/6/2017 11:19,FALSE,NA,8.1733E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,11858,FALSE,FALSE,NA,NA
9,So how and why are they so sure about hacking if they never even requested an examination of the computer servers? What is going on?,FALSE,57092,NA,1/6/2017 0:40,FALSE,NA,8.17169E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,17760,FALSE,FALSE,NA,NA
10,The Democratic National Committee would not allow the FBI to study or see its computer info after it was supposedly hacked by Russia......,FALSE,46395,NA,1/6/2017 0:30,FALSE,NA,8.17166E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,15986,FALSE,FALSE,NA,NA
11,"How did NBC get ""an exclusive look into the top secret report he (Obama) was presented?"" Who gave them this report and why? Politics!",FALSE,55464,NA,1/6/2017 0:24,FALSE,NA,8.17165E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,17695,FALSE,FALSE,NA,NA
12,"Toyota Motor said will build a new plant in Baja, Mexico, to build Corolla cars for U.S. NO WAY! Build plant in U.S. or pay big border tax.",FALSE,95788,NA,1/5/2017 18:14,FALSE,NA,8.17072E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,29645,FALSE,FALSE,NA,NA
13,"to make up their own minds as to the truth. The media lies to make it look like I am against ""Intelligence"" when in fact I am a big fan!",FALSE,61643,NA,1/5/2017 13:45,FALSE,NA,8.17004E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,14474,FALSE,FALSE,NA,NA
14,"The dishonest media likes saying that I am in Agreement with Julian Assange - wrong. I simply state what he states, it is for the people....",FALSE,56960,NA,1/5/2017 13:25,FALSE,NA,8.16999E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,15487,FALSE,FALSE,NA,NA
15,...time for Republicans &amp; Democrats to get together and come up with a healthcare plan that really works - much less expensive &amp; FAR BETTER!,FALSE,71125,NA,1/5/2017 12:06,FALSE,NA,8.16979E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,15608,FALSE,FALSE,NA,NA
16,"...do the typical political thing and BLAME. The fact is ObamaCare was a lie from the beginning.""Keep you doctor, keep your plan!"" It is....",FALSE,46586,NA,1/5/2017 12:01,FALSE,NA,8.16978E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,11596,FALSE,FALSE,NA,NA
17,"The Democrats, lead by head clown Chuck Schumer, know how bad ObamaCare is and what a mess they are in. Instead of working to fix it, they..",FALSE,48610,NA,1/5/2017 11:57,FALSE,NA,8.16977E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,12439,FALSE,FALSE,NA,NA
18,"Jackie Evancho's album sales have skyrocketed after announcing her Inauguration performance.Some people just don't understand the ""Movement""",FALSE,76000,NA,1/4/2017 18:52,FALSE,NA,8.16719E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",realDonaldTrump,16696,FALSE,FALSE,NA,NA
19,massive increases of ObamaCare will take place this year and Dems are to blame for the mess. It will fall of its own weight - be careful!,FALSE,52270,NA,1/4/2017 14:26,FALSE,NA,8.16652E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,13406,FALSE,FALSE,NA,NA
